idx,psnr,elapsed_time
100,29.473257,11.172384262084961
101,29.152988,11.19400143623352
102,29.440865,11.19422197341919
103,30.648558,11.197193145751953
104,29.465977,11.200318098068237
105,29.055243,11.215090274810791
106,26.347591,11.21034860610962
107,27.790176,11.212178230285645
108,26.481047,11.21651291847229
109,29.77845,11.213069915771484
110,31.330006,11.21571135520935
111,31.072199,11.218096017837524
112,30.613901,11.213213205337524
113,28.384373,11.208828687667847
114,31.62449,11.25983476638794
115,29.91071,11.268022537231445

mean_psnr,29.410614,mean_time,11.213064089417458
std_psnr,1.5115391,std_time,0.022458267484644433
